colour	y	x	key	tooltip	clickSelects	showSelected1	showSelected2	fill
#00BFFF	2	-1.46270289326448	rpart2	rpart fold 2 MSE=0.034	2	rpart	sin impossible 32	#00BFFF
#00BFFF	2	-1.46554783030292	rpart2	rpart fold 2 MSE=0.034	2	rpart	sin impossible 56	#00BFFF
#00BFFF	2	-1.42454791977481	rpart2	rpart fold 2 MSE=0.038	2	rpart	sin impossible 100	#00BFFF
#00BFFF	2	-1.4693069160019	rpart2	rpart fold 2 MSE=0.034	2	rpart	sin impossible 178	#00BFFF
#00BFFF	2	-1.48957412077822	rpart2	rpart fold 2 MSE=0.032	2	rpart	sin impossible 316	#00BFFF
#00BFFF	2	-1.5637900866241	rpart2	rpart fold 2 MSE=0.027	2	rpart	sin impossible 562	#00BFFF
#00BFFF	2	-1.56645165237733	rpart2	rpart fold 2 MSE=0.027	2	rpart	sin impossible 1000	#00BFFF
#00BFFF	2	-1.52658312324874	rpart3	rpart fold 3 MSE=0.030	3	rpart	sin impossible 10	#00BFFF
#00BFFF	2	-1.49040713829785	rpart3	rpart fold 3 MSE=0.032	3	rpart	sin impossible 18	#00BFFF
#00BFFF	2	-1.40594854640897	rpart3	rpart fold 3 MSE=0.039	3	rpart	sin impossible 32	#00BFFF
